source,destination,date
netherlands,united kingdom,2020-03-09
italy,netherlands,2020-02-24
netherlands,belgium,2020-03-13
italy,portugal,2020-03-01
italy,iceland,2020-03-11
italy,iceland,2020-03-09
italy,brazil,2020-03-04
italy,iceland,2020-03-04
netherlands,united kingdom,2020-03-07
italy,brazil,2020-03-03
netherlands,portugal,2020-03-03
italy,brazil,2020-03-02
italy,iceland,2020-03-02
italy,iceland,2020-03-02
netherlands,united kingdom,2020-03-17
netherlands,ireland,2020-03-02
italy,iceland,2020-03-03
netherlands,germany,2020-03-03
netherlands,finland,2020-03-07
austria,australia,2020-03-18
netherlands,iceland,2020-03-10
iceland,germany,2020-03-12
netherlands,ireland,2020-03-06
italy,iceland,2020-03-05
italy,iceland,2020-03-09
united kingdom,germany,2020-03-11
united kingdom,canada,2020-03-05
italy,brazil,2020-03-05
italy,chile,2020-03-05
united kingdom,netherlands,2020-03-06
united kingdom,australia,2020-03-19
belgium,ireland,2020-03-08
italy,switzerland,2020-02-29
italy,united kingdom,2020-02-29
italy,mexico,2020-02-27
usa,new zealand,2020-03-02
usa,greece,2020-03-18
netherlands,new zealand,2020-03-04
belgium,australia,2020-03-24
united kingdom,belgium,2020-03-24
united kingdom,usa,2020-03-24
united kingdom,belgium,2020-03-31
united kingdom,portugal,2020-03-20
united kingdom,portugal,2020-03-20
netherlands,argentina,2020-03-07
portugal,france,2020-03-16
united kingdom,canada,2020-03-12
united kingdom,greece,2020-03-18
united kingdom,usa,2020-03-14
japan,taiwan,2020-03-14
spain,canada,2020-03-13
portugal,belgium,2020-03-31
belgium,vietnam,2020-03-07
usa,canada,2020-03-13
france,japan,2020-03-13
united kingdom,iceland,2020-03-13
united kingdom,australia,2020-03-18
united kingdom,belgium,2020-03-25
germany,iceland,2020-03-16
united kingdom,portugal,2020-03-13
australia,usa,2020-03-19
australia,italy,2020-03-19
usa,france,2020-03-22
australia,belgium,2020-03-19
belgium,portugal,2020-03-22
belgium,netherlands,2020-03-04
portugal,italy,2020-03-23
portugal,italy,2020-03-23
united kingdom,belgium,2020-03-30
united kingdom,georgia,2020-04-01
united kingdom,portugal,2020-03-21
united kingdom,portugal,2020-03-21
egypt,japan,2020-03-11
usa,portugal,2020-03-11
usa,netherlands,2020-03-10
belgium,australia,2020-03-24
united kingdom,portugal,2020-03-08
united kingdom,italy,2020-03-23
united kingdom,australia,2020-03-20
united kingdom,belgium,2020-03-30
italy,france,2020-03-18
egypt,japan,2020-03-17
italy,portugal,2020-03-17
germany,iceland,2020-03-17
usa,ireland,2020-03-10
egypt,japan,2020-03-12
egypt,japan,2020-03-12
egypt,japan,2020-03-12
egypt,portugal,2020-03-16
united kingdom,italy,2020-03-23
united kingdom,italy,2020-03-17
united kingdom,portugal,2020-03-21
united kingdom,usa,2020-03-25
france,russia,2020-03-15
france,portugal,2020-03-20
france,canada,2020-03-13
austria,iceland,2020-03-04
france,iceland,2020-03-08
france,finland,2020-03-13
france,usa,2020-03-24
france,canada,2020-03-09
france,senegal,2020-03-19
france,taiwan,2020-03-21
france,slovakia,2020-03-07
france,usa,2020-03-24
spain,iceland,2020-03-18
australia,united kingdom,2020-03-19
france,australia,2020-03-20
france,australia,2020-03-21
france,slovakia,2020-03-06
france,senegal,2020-03-20
france,canada,2020-03-11
france,democratic republic of the congo,2020-03-11
france,canada,2020-03-07
france,belgium,2020-03-04
france,australia,2020-03-17
france,democratic republic of the congo,2020-03-09
france,usa,2020-03-17
usa,argentina,2020-03-18
usa,canada,2020-03-10
usa,canada,2020-03-12
egypt,japan,2020-03-09
egypt,japan,2020-03-20
belgium,democratic republic of the congo,2020-03-18
italy,taiwan,2020-03-02
usa,portugal,2020-03-13
usa,brazil,2020-03-15
usa,canada,2020-03-09
usa,united kingdom,2020-03-28
egypt,japan,2020-03-08
spain,austria,2020-03-13
usa,finland,2020-03-13
usa,australia,2020-03-17
egypt,japan,2020-03-10
egypt,japan,2020-03-10
usa,georgia,2020-03-14
usa,france,2020-03-07
usa,france,2020-03-12
usa,united kingdom,2020-03-27
usa,france,2020-02-26
usa,norway,2020-03-05
usa,france,2020-03-10
usa,senegal,2020-03-18
usa,united kingdom,2020-03-25
usa,france,2020-02-21
usa,france,2020-03-24
usa,france,2020-03-07
usa,france,2020-03-19
usa,belgium,2020-03-14
usa,france,2020-03-02
austria,iceland,2020-03-03
usa,portugal,2020-03-15
usa,france,2020-03-04
usa,canada,2020-03-11
usa,russia,2020-03-18
usa,denmark,2020-03-03
usa,france,2020-03-07
usa,australia,2020-03-20
austria,iceland,2020-03-04
usa,australia,2020-03-23
usa,finland,2020-03-14
usa,france,2020-02-26
usa,australia,2020-03-21
usa,france,2020-03-04
usa,belgium,2020-03-05
usa,netherlands,2020-03-01
usa,france,2020-03-05
usa,iceland,2020-03-17
usa,france,2020-03-20
france,portugal,2020-03-19
france,algeria,2020-03-02
united kingdom,usa,2020-03-12
united kingdom,usa,2020-03-15
usa,france,2020-03-02
belgium,taiwan,2020-03-20
usa,canada,2020-03-11
usa,canada,2020-03-12
usa,china,2020-03-23
france,senegal,2020-03-03
france,senegal,2020-02-28
france,usa,2020-03-02
france,senegal,2020-03-04
france,senegal,2020-03-02
france,usa,2020-02-29
luxembourg,belgium,2020-03-19
usa,france,2020-02-28
united kingdom,germany,2020-03-15
usa,iceland,2020-03-17
austria,iceland,2020-03-04
france,iceland,2020-03-10
france,iceland,2020-03-06
usa,australia,2020-03-16
usa,france,2020-03-23
united kingdom,finland,2020-03-08
usa,germany,2020-03-10
usa,canada,2020-03-12
usa,united kingdom,2020-03-12
usa,iceland,2020-03-07
usa,canada,2020-03-07
germany,usa,2020-03-15
usa,luxembourg,2020-03-16
usa,brazil,2020-03-19
usa,australia,2020-03-18
australia,usa,2020-03-17
usa,australia,2020-03-21
usa,canada,2020-03-12
luxembourg,germany,2020-03-15
luxembourg,canada,2020-03-11
usa,norway,2020-03-10
austria,iceland,2020-03-10
austria,iceland,2020-03-10
austria,usa,2020-03-11
austria,luxembourg,2020-03-11
luxembourg,iceland,2020-03-13
luxembourg,usa,2020-03-13
luxembourg,germany,2020-03-13
usa,iceland,2020-03-18
germany,usa,2020-03-13
germany,finland,2020-03-13
germany,finland,2020-03-13
austria,iceland,2020-03-02
france,usa,2020-03-25
france,australia,2020-03-22
usa,australia,2020-03-19
usa,france,2020-03-19
usa,iceland,2020-03-17
usa,germany,2020-03-16
france,australia,2020-03-21
usa,france,2020-03-22
usa,luxembourg,2020-03-14
france,iceland,2020-03-09
australia,iceland,2020-03-17
belgium,georgia,2020-03-28
austria,iceland,2020-03-17
usa,australia,2020-03-18
usa,australia,2020-03-19
usa,france,2020-03-20
usa,canada,2020-03-20
usa,france,2020-03-08
usa,finland,2020-03-13
usa,australia,2020-03-20
usa,united kingdom,2020-03-24
usa,australia,2020-03-22
usa,united kingdom,2020-03-22
usa,austria,2020-03-11
usa,luxembourg,2020-03-11
germany,iceland,2020-03-11
netherlands,finland,2020-03-13
usa,canada,2020-03-13
usa,australia,2020-03-14
austria,iceland,2020-03-16
usa,germany,2020-03-14
germany,iceland,2020-03-16
usa,germany,2020-03-14
usa,france,2020-03-21
usa,austria,2020-03-16
usa,finland,2020-03-14
