source,destination,date
british columbia,taoyuan,2020-03-13
british columbia,taoyuan,2020-03-14
shanghai,austria,2020-03-03
shanghai,tbilisi,2020-02-28
shanghai,sudkivu,2020-03-20
shanghai,sydney,2020-02-28
shanghai,sydney,2020-03-04
shanghai,british columbia,2020-03-02
shanghai,dasman,2020-03-02
shanghai,british columbia,2020-03-04
shanghai,british columbia,2020-03-04
shanghai,dasman,2020-03-02
shanghai,hawali,2020-03-02
shanghai,sydney,2020-03-02
shanghai,england,2020-03-02
shanghai,oslo,2020-02-26
shanghai,sydney,2020-02-29
shanghai,sydney,2020-03-06
shanghai,melbourne,2020-03-06
melbourne,sydney,2020-03-05
melbourne,sydney,2020-03-06
melbourne,england,2020-02-27
melbourne,british columbia,2020-02-28
melbourne,british columbia,2020-03-01
melbourne,british columbia,2020-02-27
melbourne,gold coast,2020-02-29
gold coast,sydney,2020-03-04
gold coast,sydney,2020-02-29
gold coast,sydney,2020-03-08
gold coast,sydney,2020-03-08
gold coast,sydney,2020-03-03
sydney,ontario,2020-02-20
sydney,ontario,2020-03-12
sydney,auckland,2020-03-05
sydney,dasman,2020-03-02
sydney,auckland,2020-02-27
sydney,british columbia,2020-03-03
british columbia,victoria,2020-03-12
british columbia,ontario,2020-03-08
british columbia,ontario,2020-03-14
ontario,british columbia,2020-03-04
ontario,british columbia,2020-03-04
shanghai,hong kong,2020-02-19
hong kong,british columbia,2020-03-04
shanghai,kaohsiung,2020-01-23
shanghai,hangzhou,2020-01-21
shanghai,hong kong,2020-02-13
shanghai,orange county,2020-01-22
shanghai,jönköping,2020-02-07
shanghai,wuhan,2020-02-07
shanghai,hong kong,2020-02-17
shanghai,hong kong,2020-02-13
shanghai,hong kong,2020-01-23
shanghai,hong kong,2020-02-11
shanghai,hong kong,2020-02-05
shanghai,hong kong,2020-02-09
shanghai,hong kong,2020-02-10
shanghai,clayton,2020-01-25
shanghai,hangzhou,2020-01-28
shanghai,hangzhou,2020-02-04
shanghai,jian,2020-01-27
jian,south korea,2020-02-06
jian,south korea,2020-02-06
shanghai,guangdong,2020-02-01
shanghai,guangdong,2020-02-09
shanghai,guangdong,2020-02-02
shanghai,hong kong,2020-02-25
shanghai,singapore,2020-01-27
shanghai,singapore,2020-02-10
shanghai,melbourne,2020-01-24
shanghai,paris,2020-01-23
shanghai,paris,2020-01-23
shanghai,paris,2020-01-28
shanghai,guangdong,2020-02-01
guangdong,hong kong,2020-02-11
guangdong,hong kong,2020-02-13
guangdong,singapore,2020-02-03
guangdong,shanghai,2020-02-12
shanghai,singapore,2020-02-04
guangdong,hong kong,2020-01-30
guangdong,melbourne,2020-01-25
guangdong,sydney,2020-01-25
guangdong,hong kong,2020-02-03
guangdong,hong kong,2020-02-09
hong kong,wales,2020-03-18
hong kong,duesseldorf,2020-03-15
hong kong,geraardsbergen,2020-03-25
geraardsbergen,tielt-winge,2020-03-25
tielt-winge,herselt,2020-03-25
tielt-winge,grimbergen,2020-03-25
shanghai,deinze,2020-03-06
deinze,rennes,2020-03-01
deinze,rennes,2020-03-05
shanghai,hangzhou,2020-01-25
hangzhou,tbilisi,2020-03-10
hangzhou,tbilisi,2020-02-27
hangzhou,tbilisi,2020-03-11
hangzhou,rome,2020-01-29
hangzhou,rome,2020-01-29
hangzhou,madrid,2020-03-09
hangzhou,wales,2020-03-22
madrid,valencia,2020-03-20
hangzhou,portugal,2020-03-17
portugal,reykjavik,2020-02-27
portugal,oslo,2020-02-29
portugal,norway,2020-02-28
oslo,norway,2020-03-04
hangzhou,oslo,2020-03-01
hangzhou,victoria,2020-03-19
victoria,minas gerais,2020-03-18
victoria,sydney,2020-03-10
sydney,england,2020-03-05
sydney,victoria,2020-03-14
sydney,victoria,2020-03-14
sydney,victoria,2020-03-19
victoria,england,2020-02-09
victoria,melbourne,2020-03-16
victoria,duesseldorf,2020-03-16
victoria,finland,2020-03-14
victoria,sydney,2020-03-10
victoria,nassau county,2020-03-04
nassau county,manhattan,2020-03-17
manhattan,minnesota,2020-03-12
minnesota,british columbia,2020-03-13
victoria,south yorkshire,2020-03-15
victoria,south yorkshire,2020-03-18
victoria,scotland,2020-03-09
victoria,munich,2020-03-14
scotland,england,2020-03-10
england,south yorkshire,2020-03-22
england,kinshasa,2020-03-20
england,beersel,2020-03-24
england,portugal,2020-03-16
england,portugal,2020-03-16
england,wales,2020-03-14
england,vila velha,2020-02-29
wales,england,2020-03-16
wales,sydney,2020-03-16
england,south yorkshire,2020-03-25
england,south yorkshire,2020-03-25
south yorkshire,wisconsin,2020-03-23
south yorkshire,england,2020-03-19
england,wales,2020-03-19
england,british columbia,2020-03-05
england,south yorkshire,2020-03-21
england,kinshasa,2020-03-17
south yorkshire,england,2020-03-28
south yorkshire,england,2020-03-28
south yorkshire,wales,2020-03-23
wales,netherlands,2020-03-08
wales,victoria,2020-03-19
wales,louth,2020-03-10
wales,south yorkshire,2020-03-12
wales,south yorkshire,2020-03-27
wales,england,2020-03-06
south yorkshire,england,2020-03-18
south yorkshire,sydney,2020-03-16
england,brisbane,2020-03-24
england,lisbon,2020-03-18
victoria,south yorkshire,2020-03-25
south yorkshire,otago,2020-03-11
south yorkshire,england,2020-03-11
south yorkshire,wales,2020-03-18
england,victoria,2020-03-24
south yorkshire,washington,2020-02-27
south yorkshire,georgia,2020-02-29
south yorkshire,south korea,2020-02-27
south yorkshire,england,2020-02-25
england,wales,2020-03-23
wales,victoria,2020-03-18
wales,manhattan,2020-03-17
manhattan,england,2020-03-28
wales,oregon,2020-03-01
wales,oslo,2020-02-27
oregon,washington,2020-03-24
oregon,idaho,2020-03-15
washington,helsinki,2020-03-01
helsinki,finland,2020-03-04
england,perth,2020-03-13
perth,slovenia,2020-03-05
perth,andalusia,2020-02-28
perth,england,2020-02-27
england,zurich,2020-02-26
england,usa,2020-03-14
england,netherlands,2020-03-13
england,wisconsin,2020-03-19
england,hangzhou,2020-03-15
england,utrecht,2020-03-12
usa,sao paulo,2020-02-28
england,connecticut,2020-03-18
england,lyon,2020-03-18
england,minnesota,2020-03-09
usa,ketchikan,2020-03-18
usa,luxembourg,2020-03-09
usa,reykjavik,2020-03-17
usa,reykjavik,2020-03-13
